Lat,Lon,CDD,HDD
40.738515,-73.956048,1310.610718,4415.648926
40.816540,-73.929669,1199.753662,4563.494629
40.761648,-73.929734,1271.116577,4458.273926
40.824494,-73.876968,1172.638306,4597.096191
40.575748,-73.967929,1272.873901,4438.221680
40.869453,-73.890315,1088.174927,4749.377930
40.821682,-73.900290,1172.638306,4597.096191
40.629747,-73.945019,1261.567505,4476.884766
40.747705,-73.874541,1207.817017,4525.531250
40.775568,-73.949911,1271.116577,4458.273926
40.664139,-73.938967,1261.567505,4476.884766
40.769606,-73.957210,1271.116577,4458.273926
40.832014,-73.919139,1199.753662,4563.494629
40.864194,-73.867910,1058.876709,4771.130859
40.746167,-73.995231,1299.786743,4421.714355
40.621528,-74.023596,1274.330444,4446.107910
40.793170,-73.975139,1173.158813,4598.009766
40.882926,-73.884347,1019.952881,4891.804688
40.824463,-73.923494,1199.753662,4563.494629
40.755320,-73.989813,1253.947266,4468.735352
40.691547,-73.959427,1294.508667,4433.241699
40.694531,-73.951988,1292.430786,4434.958008
40.851527,-73.901881,1088.174927,4749.377930
40.667245,-73.850000,1188.888062,4530.321289
40.746393,-73.910231,1271.055298,4461.206543
40.761250,-73.974477,1253.947266,4468.735352
40.785014,-73.982037,1253.947266,4468.735352
40.759627,-73.831478,1127.208496,4611.164062
40.605360,-73.996839,1271.081543,4461.968262
40.811187,-73.896558,1172.638306,4597.096191
40.700711,-73.817306,1135.361328,4580.833984
40.742024,-73.986164,1299.786743,4421.714355
40.783000,-73.958492,1253.947266,4468.735352
40.797998,-73.973130,1173.158813,4598.009766
40.762915,-73.982524,1253.947266,4468.735352
40.849298,-73.934406,1112.312378,4719.492188
40.832284,-73.891199,1172.638306,4597.096191
40.712701,-73.984386,1299.786743,4421.714355
40.718202,-73.981928,1299.786743,4421.714355
40.758597,-73.989574,1253.947266,4468.735352
40.754625,-73.828444,1127.208496,4611.164062
40.603562,-73.967219,1271.081543,4461.968262
40.831763,-73.889506,1172.638306,4597.096191
40.617940,-73.956783,1247.323730,4469.472168
40.748727,-73.980733,1299.786743,4421.714355
40.621307,-74.076482,1241.495239,4489.805664
40.749970,-73.980944,1299.786743,4421.714355
40.788619,-73.968694,1253.947266,4468.735352
40.724442,-73.984338,1299.786743,4421.714355
40.781257,-73.979297,1253.947266,4468.735352
40.814637,-73.946724,1199.753662,4563.494629
40.734496,-73.809380,1145.681641,4583.785156
40.843277,-73.919972,1112.312378,4719.492188
40.785791,-73.977931,1253.947266,4468.735352
40.703993,-74.011052,1250.875000,4487.589844
40.803417,-73.967767,1173.158813,4598.009766
40.809315,-73.952651,1199.753662,4563.494629
40.781590,-73.976151,1253.947266,4468.735352
40.773066,-73.962992,1253.947266,4468.735352
40.670676,-73.960815,1294.508667,4433.241699
40.713977,-73.822029,1145.681641,4583.785156
40.751582,-73.986890,1253.947266,4468.735352
40.633935,-74.011812,1244.426758,4484.958008
40.648389,-73.969943,1272.350342,4478.152832
40.809838,-73.953677,1199.753662,4563.494629
40.737909,-73.999742,1299.786743,4421.714355
40.576329,-73.964708,1272.873901,4438.221680
40.790939,-73.979259,1253.947266,4468.735352
40.862909,-73.864253,1058.876709,4771.130859
40.842693,-73.892562,1088.174927,4749.377930
40.829013,-73.920149,1199.753662,4563.494629
40.755916,-73.996989,1253.947266,4468.735352
40.652891,-73.973386,1272.350342,4478.152832
40.815980,-73.959812,1173.158813,4598.009766
40.653491,-73.962531,1272.350342,4478.152832
40.852750,-73.836799,1058.876709,4771.130859
40.871614,-73.898863,1088.174927,4749.377930
40.772175,-73.965605,1253.947266,4468.735352
40.718027,-73.963433,1299.786743,4421.714355
40.875858,-73.902352,1019.952881,4891.804688
40.811948,-73.901078,1172.638306,4597.096191
40.830585,-73.928652,1199.753662,4563.494629
40.665073,-73.855605,1166.811890,4550.552734
40.773039,-73.964920,1253.947266,4468.735352
40.880340,-73.918986,1032.977417,4875.513672
40.578804,-74.162653,1175.541016,4586.022461
40.726911,-73.995084,1299.786743,4421.714355
40.704504,-73.796090,1135.361328,4580.833984
40.732030,-73.993407,1299.786743,4421.714355
40.805763,-73.951182,1199.753662,4563.494629
40.634171,-73.965538,1272.350342,4478.152832
40.659945,-73.962292,1272.350342,4478.152832
40.778516,-73.955962,1271.116577,4458.273926
40.756139,-73.831408,1127.208496,4611.164062
40.795432,-73.962364,1173.158813,4598.009766
40.879013,-73.916109,1019.952881,4891.804688
40.668006,-73.957495,1292.430786,4434.958008
40.690809,-73.990016,1294.508667,4433.241699
40.798854,-73.972432,1173.158813,4598.009766
40.745679,-73.930818,1310.610718,4415.648926
40.777387,-73.977986,1253.947266,4468.735352
40.735679,-73.991784,1299.786743,4421.714355
40.749156,-73.879756,1271.055298,4461.206543
40.778634,-73.982449,1253.947266,4468.735352
40.725126,-74.004945,1241.051514,4502.415527
40.707935,-73.929777,1292.430786,4434.958008
40.691514,-73.956822,1292.430786,4434.958008
40.653181,-73.948856,1261.567505,4476.884766
40.675222,-73.972536,1294.508667,4433.241699
40.708659,-74.007979,1241.051514,4502.415527
40.836336,-73.927089,1112.312378,4719.492188
40.665417,-73.929978,1261.567505,4476.884766
40.763066,-73.977662,1253.947266,4468.735352
40.728339,-73.937268,1310.610718,4415.648926
40.645036,-73.945739,1261.567505,4476.884766
40.761913,-73.827751,1127.208496,4611.164062
40.707882,-74.004751,1250.875000,4487.589844
40.773418,-73.824261,1127.208496,4611.164062
40.811513,-73.917558,1199.753662,4563.494629
40.644955,-73.979033,1272.350342,4478.152832
40.746913,-73.988147,1299.786743,4421.714355
40.849723,-73.938405,1112.312378,4719.492188
40.769026,-73.951760,1271.116577,4458.273926
40.907974,-73.896913,1019.952881,4891.804688
